Country,Power_Plant_Name,Capacity_MW,Start_Year,Location,Owner,Operator,Type,Status,Annual_Generation_GWh,Lifetime_Generation_GWh,Operator_Website
United Kingdom,"Weber, Greene and Anderson",221,1998,Rodneyborough,Johnson-Cameron,Alvarez PLC,Fusion,Planned,549.4942151,17488.38403,https://www.smith-moreno.com/
Uganda,Diaz Inc,1816,1999,Andersonport,Morris Ltd,Hunt PLC,Nuclear,Operational,4005.535234,87576.5305,https://www.howell.com/
Guernsey,Nguyen-Price,1942,1976,East Jessicamouth,Jenkins-Williams,Cohen Inc,Fusion,Planned,9349.553455,90163.13224,https://peck-henderson.com/
Turkmenistan,Chandler Ltd,1933,2005,Port Cassandraport,"Phelps, Gray and Elliott",Woods-Olson,Fusion,Planned,9470.952214,83294.22999,https://www.young.info/
Taiwan,Morgan-Wilson,241,2019,Port Thomas,Alexander-Poole,Flynn-Dyer,Fusion,Planned,8643.629288,95842.46899,http://www.mcdonald.com/
Argentina,"Hood, Dougherty and Thompson",1052,1989,Port George,Oliver-Johnson,Norman-Rodriguez,Fusion,Under Construction,2413.805728,30944.8451,http://morrow.com/
Ecuador,Mcdonald Group,1635,1972,Ryanmouth,Lynch-Daniels,"Hicks, Soto and Johnson",Fusion,Under Construction,8168.9947,61561.12866,http://www.mccoy.com/
Finland,Gilbert PLC,1230,2003,Lake Megan,Lee Group,Brown-Jackson,Nuclear,Under Construction,592.6647987,63794.80115,http://peterson.com/
United Kingdom,Gibbs-Frazier,1931,1982,Thomasview,Nunez-West,Ross-Watson,Nuclear,Planned,9902.393916,85000.52401,https://burton-long.org/
Brunei Darussalam,Stanley Inc,1762,1995,Adambury,Johnson PLC,"Summers, Carroll and Rhodes",Nuclear,Planned,9269.274597,44299.8764,http://www.foster.biz/
Albania,"Johnson, Ingram and Porter",1323,1981,New Michaelaville,Ford-Malone,Smith LLC,Fusion,Operational,841.2180899,63750.33974,http://joyce-santos.com/
Honduras,"Combs, Hogan and Terry",1800,2012,Nicholashaven,"Randall, Coleman and Blair",Calhoun PLC,Fusion,Operational,8272.394161,84966.19416,http://www.lewis-shepherd.net/
Christmas Island,"Chang, Collins and Wright",1247,1991,West Michelle,Reed-Thompson,"Anderson, Hall and Moreno",Nuclear,Under Construction,4410.860015,44170.38385,https://hopkins.org/
Macao,"Johnson, Nguyen and Graham",1710,2001,Brookeville,Garcia-Cortez,Baker Ltd,Fusion,Planned,7931.93726,98125.93229,https://www.barnett.info/
Tonga,Burgess LLC,385,2002,Torresfort,"Briggs, Woods and Harris","Weiss, Nguyen and Pierce",Nuclear,Operational,2322.388733,25799.51138,https://edwards.com/
Benin,"Owen, Hoffman and Jones",1000,1998,Kevinville,Aguilar-Henson,"Maxwell, Brown and Bradley",Nuclear,Operational,4181.533325,88685.38911,http://marquez.com/
Antigua and Barbuda,King-Crawford,1620,1989,Wilkinsberg,Rodriguez-Smith,"Lewis, Villanueva and Nguyen",Fusion,Planned,8999.114634,20900.61412,http://farmer-salinas.biz/
Cook Islands,Miles and Sons,1834,1990,Wrighttown,Taylor-Smith,"Combs, Spears and Farrell",Fusion,Operational,1802.748362,15984.27574,https://www.cruz.com/
Congo,"Burns, Luna and Ortiz",716,1978,Smithborough,"Cook, Delacruz and Cannon","Wilson, Mejia and Shelton",Fusion,Operational,6927.965651,24399.21695,http://johnson.com/
Algeria,David-Meyer,1582,1998,Danahaven,Gonzalez-Ramirez,"Dominguez, Love and Kelly",Nuclear,Planned,4421.051058,78346.43471,http://galloway-cook.biz/
Montserrat,"Rasmussen, Pruitt and Cummings",1598,1978,Lake Jeffery,Foster Ltd,Baker-Larson,Nuclear,Operational,1715.138247,71152.23347,http://smith.biz/
Gambia,Lee Group,153,1991,Bartonmouth,"Hill, Reese and Brown",Gutierrez Group,Fusion,Under Construction,2003.919506,27041.34433,https://www.young.com/
Congo,"James, Robbins and Peck",206,2022,Gonzalezbury,"Morse, Vaughn and Daniel","Mills, Khan and Hall",Fusion,Planned,2053.015486,50657.5047,http://wilson.com/
Martinique,Ramos-Mcmillan,1597,2018,West Leah,"Valenzuela, Cain and Miller",Gardner-Miller,Fusion,Planned,4042.965732,16090.5972,http://www.morrison.com/
Brazil,"Benton, Mercado and Dean",1480,2020,Murphychester,Mccann-Kaufman,Glenn PLC,Fusion,Under Construction,1211.053885,24646.83904,https://www.henry-turner.org/
Tajikistan,Ramirez-Moore,479,2001,Irwinview,Smith Inc,Smith-Jensen,Fusion,Planned,9101.1877,61532.81361,https://collins-brown.org/
Korea,Romero-Soto,182,1984,Garyborough,English-Palmer,Pacheco-Young,Fusion,Operational,8438.881311,57736.67085,http://caldwell.org/
Italy,Ramirez-Hale,1419,1986,North Jacquelineburgh,Mcdonald Ltd,Brown-Tapia,Fusion,Operational,1225.056125,93242.30275,http://shaw.org/
Guinea-Bissau,Sparks Inc,1324,1996,Jenniferside,Obrien-Maldonado,Cochran-Myers,Fusion,Under Construction,4240.654798,37281.78201,http://www.crawford-hardy.com/
Kyrgyz Republic,Phelps Group,396,1973,North Davidmouth,Hayes-Scott,"Brown, Mayer and Olsen",Nuclear,Planned,2866.080985,31669.86358,http://hall.com/
Madagascar,Farrell Inc,233,1982,New Alexville,Hobbs-Wilson,Lambert-Mitchell,Nuclear,Planned,9617.603732,71850.42669,http://www.vasquez.com/
Ukraine,Hayes Ltd,1978,1977,Hudsonton,Jackson-Pena,Garcia-Ryan,Fusion,Operational,9101.801194,65943.24593,https://lindsey-petty.com/
Italy,"Benton, West and Curtis",1634,2008,Jenniferport,Winters-Tanner,"Petersen, Harvey and Brown",Nuclear,Under Construction,1723.53442,70330.16243,https://www.garcia.com/
Netherlands Antilles,Hayes Inc,213,2013,Brownburgh,Rivera Ltd,Young-Griffin,Nuclear,Operational,5415.20912,52418.39692,http://www.sullivan-santos.org/
Egypt,Lawrence Group,646,1985,Reneeside,Chandler-Robinson,"Carson, Russo and Grant",Nuclear,Planned,3176.420388,30857.75532,https://guzman.com/
Mauritius,Moore-Smith,1269,1991,Timothyville,Wilson Inc,"Robinson, Mcdonald and Stewart",Fusion,Planned,5745.800478,51766.37304,https://dickerson.com/
Fiji,Hall and Sons,136,2015,Cristinamouth,"Chavez, Osborne and Lynch","Bennett, Swanson and Moody",Fusion,Operational,3039.583897,39838.84702,http://www.giles.com/
Tajikistan,"Richardson, Harris and Myers",1034,1981,Lake Sarahside,Gill Ltd,"Jefferson, Nash and Rodriguez",Fusion,Operational,7791.876646,35045.35762,http://hooper.com/
Yemen,Francis Ltd,1669,1983,North Christopher,Patel Inc,Hull LLC,Fusion,Under Construction,9190.430445,42133.25029,http://gilbert-clark.org/
Uganda,Santiago Group,774,1987,Sheltonfurt,"Scott, Rush and May",Higgins-Gonzalez,Nuclear,Planned,2080.808671,62612.98957,https://scott-crawford.com/
Puerto Rico,Smith-Mcconnell,1896,1999,Barnettview,"Harris, Thomas and Pope","Jones, Mcbride and Perez",Fusion,Planned,234.0053295,77888.88145,https://www.gray.info/
Tajikistan,Gonzales Ltd,895,1989,South Kelseymouth,Kaufman PLC,Dean LLC,Nuclear,Operational,5344.714693,32388.95813,https://rogers.com/
Haiti,Adkins-Graham,437,2001,Pagefurt,Cooper-Robertson,"Miller, Garner and Phillips",Fusion,Operational,2904.914886,77540.26383,http://www.morgan-le.com/
Palestinian Territory,"Carroll, Johnson and Miller",157,1976,Port Melodyfurt,Lewis-Kelley,"Cole, Jordan and Phillips",Nuclear,Under Construction,4413.454718,95712.07999,http://www.mckenzie.com/
Qatar,"Miller, Simmons and Williams",1683,2000,West Josephburgh,"Morales, Crane and Parks",Harris PLC,Fusion,Planned,194.5890941,20046.12755,http://casey-ryan.info/
Nauru,Wall Group,962,1980,Matthewbury,"Neal, Drake and Clark",Hart Ltd,Fusion,Under Construction,6745.068012,75693.53602,http://www.brown.net/
Myanmar,Mueller-Johnson,615,2015,Julialand,"Nichols, Schultz and Blankenship","Richards, King and Smith",Nuclear,Under Construction,1934.827809,71615.19162,https://black.net/
Aruba,"Glenn, Adams and Glenn",1902,1999,West Fernando,Baker-Beltran,Cook-Curtis,Nuclear,Planned,152.4044352,28918.64266,https://www.decker.com/
Palestinian Territory,"Lopez, Schaefer and Buckley",1336,1982,Lynchbury,Reynolds PLC,"Hicks, Fletcher and Thompson",Nuclear,Operational,9118.028672,95851.39621,https://www.wright.info/
Georgia,Hawkins-Rivera,1887,1979,Blevinsstad,Harrison-Curry,Robertson LLC,Fusion,Operational,1602.826405,53301.93008,http://www.mason-travis.com/
Faroe Islands,Stewart-Hale,511,2021,North Richardview,"Welch, Barajas and Griffin","Smith, Martin and Moore",Nuclear,Planned,6130.40833,82498.37651,https://www.christian.com/
American Samoa,Brown Group,687,2012,Ronaldville,"Daniel, Wilson and Douglas",Kim LLC,Fusion,Under Construction,827.9887097,70345.86347,https://lopez-holt.org/
Cape Verde,Larson Ltd,1607,2002,Lake Luisshire,"Greene, Gilmore and Franklin","Jones, Snyder and Chang",Nuclear,Operational,7019.573074,50082.19819,https://www.smith-johnston.com/
Romania,"Trujillo, Walker and Oliver",1534,2004,Carpenterstad,"Baldwin, Walker and Keller",Edwards-Newman,Fusion,Planned,5315.240974,84999.56865,https://delacruz.net/
Malaysia,"Hernandez, Mcguire and Alvarado",900,1989,South Janice,"Hurley, Lee and Hernandez",Young Group,Fusion,Under Construction,9337.050943,85049.25033,http://johnson-foster.info/
New Caledonia,Baldwin-Gardner,1459,2008,South Tina,"Stone, Simpson and Kim",Weber and Sons,Fusion,Under Construction,8774.798524,53810.56969,https://www.smith-proctor.info/
Morocco,"Bell, Macdonald and Yang",1519,2003,Lewisshire,"Conley, Thomas and Brown","Johnson, Stuart and Gutierrez",Fusion,Operational,1061.978865,39185.62549,https://simmons.info/
Saudi Arabia,Mcdonald LLC,1371,2008,Johnside,Fowler-Benson,Gutierrez Ltd,Nuclear,Under Construction,1770.685971,96061.3892,http://mcmahon-romero.org/
Belarus,Salazar-Lewis,955,1994,West Kevinville,Fitzgerald PLC,"Harris, Conley and Guzman",Fusion,Planned,5955.969373,96801.0698,http://glover-gray.com/
Mongolia,"Jackson, Hutchinson and Richard",797,1975,Port Michelle,Marquez and Sons,Dorsey and Sons,Nuclear,Under Construction,6991.262224,35019.02912,http://curtis-bell.com/
Swaziland,Malone Ltd,1259,2015,Mcphersonview,"Schroeder, Bennett and Barr",Johnson Group,Nuclear,Operational,8935.380367,39555.24649,https://www.green-smith.com/
Iran,Mitchell-Foster,1126,2004,Grossland,"Finley, Sutton and Johnson",Cobb LLC,Fusion,Under Construction,3100.958925,36490.40057,https://www.barker.info/
Anguilla,"Rowland, Guerrero and Moore",963,2014,Jaybury,Bennett-Becker,Trujillo-Medina,Nuclear,Operational,482.642742,43278.8476,https://www.blackwell-maynard.com/
Libyan Arab Jamahiriya,Jones PLC,938,1973,South Austin,Grant-Lam,Page-Lewis,Nuclear,Planned,5846.223478,80487.79932,https://www.moreno.com/
Greece,"Williams, Williams and Lewis",672,1997,Annaborough,Mcgrath Inc,Blanchard LLC,Fusion,Under Construction,6879.577031,10919.01749,https://johnston.info/
American Samoa,"Petty, Garcia and Clay",930,1996,North David,Hernandez Inc,"Horton, Reyes and Johnson",Fusion,Operational,8937.019684,23701.35206,https://www.wade.com/
Bermuda,Hicks and Sons,870,2018,New Angelahaven,Hoffman Inc,Poole and Sons,Nuclear,Planned,4069.533642,37567.58587,https://www.suarez-west.com/
Morocco,Holmes Ltd,342,1979,North Dustin,Young PLC,"Frederick, Payne and Wells",Fusion,Planned,1667.75319,54920.98082,https://www.farley.com/
Grenada,"Richardson, Taylor and Vance",1491,1971,Lake Ashleyview,"Henry, Smith and Ayers",Hancock LLC,Nuclear,Planned,5996.755571,17165.67762,https://www.meyer-miller.com/
Chile,Welch-Barr,1410,2001,Deannabury,Cole LLC,Lucero-Morris,Fusion,Operational,1406.396986,24605.48306,https://www.byrd.info/
Jersey,Deleon-Greer,915,2005,Melissafurt,Wheeler and Sons,Ayers-Price,Nuclear,Under Construction,5555.445393,61335.40362,http://hahn.com/
United States Virgin Islands,Lam and Sons,394,1987,West Melissa,"Christensen, Guzman and Phelps",Ward PLC,Nuclear,Operational,6239.637523,47889.37902,https://www.price.biz/
Tonga,"Weaver, Valentine and Sandoval",1329,2015,Marcusstad,Perry PLC,"Moore, Reid and Dougherty",Nuclear,Planned,895.2146359,33573.13007,https://www.evans-coleman.com/
Ukraine,Stephens-Ellison,716,1975,Brownburgh,Thomas PLC,Jones-Morales,Fusion,Planned,1826.742397,19422.8382,http://www.noble-rogers.com/
Faroe Islands,Gray LLC,1325,2016,West Michaelhaven,Fuller-Carpenter,Dominguez-Morris,Nuclear,Under Construction,9295.481445,94574.29425,http://sanders.com/
Nauru,Miller Group,256,2015,Lake Nicolasbury,Vasquez-Salas,"Rice, Harrison and Cooper",Nuclear,Operational,6219.453665,49329.76682,https://johnston.com/
Egypt,Armstrong-Wallace,1356,2018,North Sarah,"Mccoy, Price and Jefferson",Hanson and Sons,Fusion,Planned,3901.410828,21532.99644,http://nichols.com/
Belgium,Graham and Sons,1943,1994,Omarfurt,Brown-Estrada,"Harris, Bowers and Flynn",Nuclear,Operational,3981.637602,83261.13941,https://marsh.com/
Jersey,"Johnson, Harrison and Medina",290,2002,New Linda,Shea Ltd,"Patterson, Miles and Knight",Fusion,Planned,7657.580271,96819.90591,https://www.austin-ford.com/
Belize,White PLC,1152,1997,Troyburgh,Barnes PLC,"Perez, Barajas and Larsen",Nuclear,Under Construction,2245.992898,31830.51229,https://www.foster.com/
Belize,Beltran-Thomas,616,2008,Port Brianchester,Alexander-Brooks,Baldwin-Shelton,Fusion,Under Construction,6768.918914,52601.99485,http://le-smith.biz/
Greenland,Henderson and Sons,1059,1992,South John,"Johnson, Smith and Mccann",Mendoza-Pace,Fusion,Operational,8130.034978,96403.92323,http://nixon-cervantes.com/
Reunion,Hill and Sons,1131,1978,Craigmouth,Cantu Inc,"Cain, Mitchell and Branch",Fusion,Operational,8936.219694,86514.67819,http://www.le.com/
Denmark,Ayers and Sons,1668,2020,New Christineberg,Carroll and Sons,"Roberts, Mueller and Yu",Fusion,Planned,3348.687765,42369.65859,https://www.ferguson-sellers.com/
Spain,"Singh, Jones and Lawson",1772,1980,Brownburgh,"Williams, Schmidt and Howard",Davis-Rodriguez,Fusion,Planned,3645.175094,19412.16885,https://doyle-hansen.info/
Mali,"Cunningham, Mitchell and Brown",1230,1975,North Laurieborough,Terry-Humphrey,Sherman Inc,Fusion,Operational,5559.259367,14492.09802,https://www.horton.com/
Suriname,"Espinoza, King and Bonilla",1196,2006,New Desiree,"Young, Johnson and Taylor",Willis-Mitchell,Nuclear,Under Construction,8336.015632,67548.62636,http://dixon-garcia.com/
Slovakia (Slovak Republic),Smith-Graham,1480,1984,South Juanport,"Stout, Sawyer and Daugherty","Thompson, Sanders and Kerr",Fusion,Under Construction,5179.922314,38437.00968,https://www.stephens-smith.info/
Zambia,"Gregory, Rogers and Payne",419,1980,Rickyshire,Perry-Hall,"Ward, Smith and Black",Fusion,Planned,445.1701557,94048.15377,http://garcia.com/
Marshall Islands,"Dillon, Hudson and Powell",1710,1981,North Jody,"Fields, Parker and Anderson",Miller-George,Nuclear,Planned,9031.342148,88443.19618,https://www.patel.com/
Argentina,"Schultz, Taylor and Thomas",487,1984,Kyleville,"Fitzgerald, Montgomery and Mcmillan","Nichols, Mills and Bryan",Fusion,Under Construction,2001.859818,53416.29783,http://christensen.com/
Kuwait,Bell Group,772,1989,South Rebeccamouth,Castillo Group,Mayer-Moreno,Nuclear,Operational,7784.75262,34363.04323,https://www.roy.biz/
Bulgaria,Mcguire-Wang,1026,2014,Pottstown,Garcia LLC,Bennett-Smith,Fusion,Operational,2613.976367,93763.41868,https://www.sanchez.com/
Guam,"Bright, Zamora and Scott",577,1992,Anthonyberg,Hughes-Quinn,Bauer LLC,Nuclear,Planned,3253.550572,66511.06496,https://sheppard.com/
Guyana,"Wyatt, Nguyen and West",930,2010,New James,Contreras-Thomas,Davis-Payne,Nuclear,Planned,1692.903439,94292.90029,http://peterson.com/
France,Leonard-Mendez,547,2002,Laraville,"Rice, Baker and Beard","Solomon, Mayo and Hall",Fusion,Planned,4383.221553,77205.76937,http://fox-nguyen.com/
Kyrgyz Republic,"Hurley, Russell and Smith",693,1983,Jeremyport,"Bridges, Bennett and Sanchez",Lynch Group,Nuclear,Planned,634.0916909,34915.42967,https://www.weaver.com/
Kuwait,Sparks Ltd,353,1971,Chaseport,Brown-Smith,Lewis Group,Nuclear,Under Construction,4499.33457,46966.39755,https://lloyd.com/
Italy,Estrada-Mendez,601,2004,Angelaberg,Carr Inc,Sanchez-Cunningham,Nuclear,Operational,3248.650921,47239.73827,http://russell-davis.com/
Djibouti,Wood-Young,1557,2020,South Loriview,"Mitchell, Stewart and Smith","Ray, Johnson and Moss",Fusion,Planned,5733.980911,80362.51409,http://mckay.com/
Afghanistan,Lewis Group,140,2015,Haydentown,Henry and Sons,Berger-Howard,Nuclear,Operational,9327.08459,54117.23442,https://smith.com/
Croatia,"Johnston, Stewart and Barber",1862,2014,Douglasland,"Jackson, Nichols and Rangel","Schroeder, Gonzalez and Smith",Nuclear,Planned,4389.118692,71244.54327,https://www.howell.com/
Saint Pierre and Miquelon,Melendez-Holmes,1834,1982,South Jennifer,Fitzpatrick-Day,Phillips-Wilson,Fusion,Planned,8015.264958,31275.61137,http://www.smith.info/
Liechtenstein,"Richardson, Whitehead and Allen",643,1978,Andersontown,Graham Inc,"Moore, Kelly and Sanchez",Nuclear,Planned,6432.65462,36492.75816,http://cortez.com/
Cameroon,Smith-Johnson,997,2015,Justinville,"Hendricks, Rosario and Hays","Sexton, Clark and Price",Nuclear,Under Construction,3077.999917,28464.46699,https://davis.info/
Djibouti,Page-Contreras,168,1979,Elizabethberg,"Vasquez, Evans and Ramos",Sweeney Inc,Nuclear,Planned,380.1026651,49213.16,https://johnson.com/
Malawi,Herring LLC,1204,2014,Hopkinston,Turner PLC,Morgan-Morgan,Fusion,Operational,4291.513859,52527.20035,http://www.aguilar.info/
Saint Kitts and Nevis,Gray Inc,1329,1991,Port Renee,Wood and Sons,Wilson Group,Nuclear,Planned,6941.083008,10660.27492,http://avery-black.org/
Wallis and Futuna,Mullen-Freeman,183,1983,Heatherburgh,Love-Robinson,Anderson LLC,Fusion,Planned,6633.917091,98647.85075,https://rosales.info/
Pitcairn Islands,Thompson-Salazar,1594,1984,West Laura,Williams LLC,"Dunn, Black and Velez",Fusion,Under Construction,9815.960195,66426.29651,https://pace.biz/
Korea,"Willis, Little and Holloway",1832,1973,North Amy,"Ortiz, Robinson and Reese",Sanders-Gibbs,Fusion,Under Construction,1661.555339,70080.31496,http://johns-prince.biz/
Reunion,"Vasquez, Willis and Shepherd",1793,1979,East Tiffany,Barnes Group,"Lee, Frye and Morgan",Nuclear,Operational,758.7122671,51852.66587,https://www.watts-bauer.com/
British Virgin Islands,"Rogers, Turner and Riley",780,1972,Port Aaron,"Hart, Daniels and Alvarez",Mcneil Ltd,Fusion,Under Construction,3090.54028,58384.42923,https://moore.info/
Norway,Thomas Group,1052,2009,Donaldmouth,Todd-Chen,Chung-King,Fusion,Operational,3653.273814,16511.64301,http://www.nguyen.com/
Cayman Islands,Meyer PLC,761,1990,South Kimberlyhaven,Clay Inc,"Miles, Parker and Smith",Nuclear,Under Construction,9663.404329,75834.7778,https://www.lucero.com/
Isle of Man,"Jones, Winters and Hernandez",1663,2020,North Maryfort,Castillo-Nash,"Armstrong, Bell and Jackson",Nuclear,Operational,5811.956442,52211.20393,https://www.pena.biz/
Bermuda,Hall-Mcknight,728,1990,South Amy,Franklin-Palmer,Cunningham Ltd,Nuclear,Planned,6117.422046,83892.69632,http://www.moore.com/
Guinea,Torres-Boyd,1736,2018,Bushfurt,Cruz-Love,Holland LLC,Fusion,Under Construction,5945.689573,38690.9245,http://powers.com/
Sudan,"Allen, Barnes and Lee",153,1997,Chandlerbury,Benson-Mcdonald,Butler-Dominguez,Fusion,Planned,7110.173797,18812.38039,https://jenkins.com/
Solomon Islands,Morgan-Stephens,1100,2021,Hansentown,Powers-Welch,"Watts, Abbott and Woods",Fusion,Planned,2612.718535,99717.95074,https://bray.net/
Anguilla,Collins-Perkins,199,1989,Davilamouth,Williams-Michael,Davenport PLC,Fusion,Planned,8372.687938,86014.09086,http://www.martin.com/
Kyrgyz Republic,"Norris, Schroeder and Woodward",156,1982,Lake Justin,"Rubio, Rich and Golden",Lopez Group,Nuclear,Planned,4558.605584,86540.41619,https://hickman-peterson.biz/
Kiribati,Moore Ltd,466,1996,Rhodeshaven,Meadows-Cervantes,Gomez-Smith,Fusion,Operational,6680.324909,76860.21445,https://www.griffith.org/
Slovakia (Slovak Republic),"Hull, Horton and Murphy",1355,2002,Willisborough,"Dickson, Brown and Mccarthy","Cole, Simmons and Meyer",Fusion,Planned,1160.141261,32068.36999,http://www.graham.com/
Liberia,Lara-Phelps,735,1971,Tylerside,"Gentry, Cabrera and Adams",Calhoun Ltd,Fusion,Under Construction,6597.416259,83485.53924,http://www.rivas.net/
Bahrain,"Brown, Allen and Fleming",205,1983,Derekland,Malone-Edwards,Evans-Butler,Fusion,Under Construction,1159.926365,26835.05596,http://reid.info/
Cote d'Ivoire,Brennan-Lopez,508,1975,South Alisonmouth,Bowman PLC,Hughes-Blake,Nuclear,Under Construction,7552.280451,18394.1444,https://myers.com/
Belize,Thomas PLC,768,2002,South Thomas,Becker LLC,Mcmahon-Rivera,Fusion,Operational,6147.167944,58346.58669,http://www.foster.biz/
Iran,"Mays, Collins and Herman",1122,2019,Delacruzfurt,Small-Farrell,"Morales, Hall and Scott",Fusion,Under Construction,1438.780069,98011.5605,http://www.mcpherson-glass.net/
Hungary,Ray and Sons,402,2006,Anthonyburgh,Alvarez Group,"Pratt, Wise and Herrera",Fusion,Planned,4191.609966,71559.53051,https://olson.biz/
Wallis and Futuna,"Lopez, Golden and Hanson",780,1999,Brittanychester,"Mitchell, Phillips and Gomez",Zhang-Walker,Fusion,Planned,5549.670884,49461.12594,https://www.manning.net/
Saint Barthelemy,Gordon Inc,201,1995,North James,Fisher PLC,Brown-Robinson,Fusion,Under Construction,6440.522992,26967.97047,http://evans.com/
Bahamas,Sparks PLC,518,1974,Campbellmouth,"Poole, Mueller and Estes",Miles Group,Nuclear,Operational,5905.686137,31443.20496,https://howard.biz/
Barbados,"Parker, Burch and Trevino",1228,2014,New Joshuastad,"Taylor, Mcdonald and Mendez","Wheeler, Cortez and Smith",Nuclear,Planned,2363.882582,99935.07996,https://gardner.com/
Rwanda,Myers PLC,1426,1988,Lake David,Lewis-Hodge,"Dominguez, Yoder and Dennis",Nuclear,Planned,2087.1059,72023.17182,https://www.cooper.com/
Christmas Island,"Jones, Wong and Sellers",1709,2019,Martinezton,"Fernandez, Lewis and Dickson","Conway, Martinez and Kirk",Nuclear,Operational,8841.069156,27140.61537,http://www.fry.com/
Cyprus,Thornton LLC,1027,2006,Lake Susanmouth,Gilmore Inc,Mason-Kim,Nuclear,Operational,1125.558413,80709.70241,http://henry.com/
Paraguay,Miller-Perez,706,2003,East Kellychester,Porter-Meyers,Cisneros-Hanson,Nuclear,Under Construction,150.8981262,30336.81875,http://www.torres-perez.com/
Cuba,Hardy-Howard,146,2020,South Douglastown,Conway Ltd,Hahn-Johnson,Fusion,Under Construction,6719.07821,23030.02071,http://cannon-warner.org/
Netherlands,"Potter, Allen and Perez",826,1981,Weissfurt,Griffith-Ramirez,Scott-White,Nuclear,Under Construction,1898.302985,98419.70065,https://colon.org/
French Southern Territories,Brown Inc,1016,2008,Robertshire,Underwood-Guzman,Moore-Austin,Fusion,Under Construction,2856.662726,80713.33416,http://odom.com/
Israel,"Smith, Reid and Clark",1573,2023,Port Caitlyn,"Robinson, Jones and Munoz",Luna and Sons,Nuclear,Under Construction,5713.186035,83950.44459,http://www.stevens.biz/
Sierra Leone,Fields PLC,1121,1994,Hawkinsstad,"Sullivan, Meyer and Jones",Boyd Inc,Nuclear,Planned,9750.343872,77697.18407,http://www.reeves-russell.net/
Mongolia,Duke Ltd,1038,1996,Port Judith,Beck-Rice,Porter-King,Nuclear,Planned,7041.625106,95686.06525,https://www.garcia.com/
Tunisia,Allen and Sons,1429,2009,West Joymouth,Howard Ltd,Powers PLC,Fusion,Planned,4955.784202,71104.67943,https://white-perez.com/
Saint Helena,"Kramer, Bishop and Armstrong",520,2012,New Lindahaven,"Black, Torres and Myers",Mitchell-Cook,Fusion,Operational,9177.855337,45472.42491,https://garner-mcgee.com/
Singapore,"Washington, Andrews and Sanders",408,2016,Lake Toddton,Moore PLC,Foster-Freeman,Fusion,Under Construction,5264.886381,72652.21391,http://dodson-benson.com/
Ghana,Henderson-Hooper,870,1984,Lake Evan,Mcdaniel PLC,Jackson Inc,Fusion,Under Construction,4032.097077,83492.17511,https://clark.com/
Madagascar,Martin-Howe,894,1995,South Frankburgh,"Allen, Hernandez and Juarez",Obrien Ltd,Nuclear,Under Construction,6485.300721,78124.49658,https://www.smith.com/
Israel,James-Fuentes,1174,2006,Joemouth,Jones PLC,"Torres, Ray and Nguyen",Nuclear,Operational,3125.204308,65373.3477,http://www.valenzuela.com/
British Virgin Islands,Hoffman and Sons,270,1988,New Lanceburgh,Wells-Taylor,Lewis and Sons,Fusion,Operational,9194.07546,16999.66362,http://www.pierce-santiago.org/
Malaysia,Middleton-Vaughan,1835,1984,West Daniel,Barber Group,Dixon-Oliver,Nuclear,Under Construction,8033.498477,81594.56156,https://www.garcia.com/
Suriname,"Harvey, Gordon and Kaiser",328,1999,New Jodibury,Miller-Humphrey,Hill-Mccarthy,Nuclear,Under Construction,6591.540695,47801.75285,https://foster.net/
British Virgin Islands,"Gomez, Bishop and Lee",1886,1978,North Angela,Jones-Myers,"Riddle, Gibson and Williams",Nuclear,Operational,1430.423742,23401.03276,http://www.smith-foster.com/
Turkmenistan,"Ross, Hampton and Sullivan",1600,2005,Davidchester,"Jones, Rivera and Smith",Ashley Inc,Fusion,Planned,6779.695698,88538.06507,http://www.perez.com/
Senegal,Stephens-Mcdaniel,868,1995,Port Aaronbury,"Hill, Gomez and Ayala",Castro-Morrison,Nuclear,Under Construction,7027.823856,74553.49477,https://www.oneill.com/
Tonga,Gamble LLC,806,2015,West Oliviafurt,"Diaz, Davidson and Stein",Velasquez-Vazquez,Fusion,Operational,2248.463334,62339.03873,https://miller.com/
Mali,Conner Inc,1178,2007,Gomezshire,Evans-Nelson,Hester Ltd,Nuclear,Planned,8725.645004,64865.21943,https://hayes.org/
Luxembourg,Rogers Ltd,617,2017,Dunnhaven,Jones LLC,"Martinez, Diaz and Williams",Fusion,Planned,8347.934227,86421.55669,http://www.marshall-michael.info/
Serbia,Johnson-Mcclure,476,1972,Greerport,"Blair, Gibson and Norman","Kemp, Payne and Hansen",Nuclear,Planned,6856.100483,75558.21037,https://daniel.net/
Cocos (Keeling) Islands,Huff-Johnson,1322,1972,Lake Gordon,"Rhodes, Taylor and Little",Hernandez-Zamora,Nuclear,Operational,9212.107948,32438.75599,https://www.gonzalez.com/
Tajikistan,Perez-Smith,1696,1994,North Dustin,Carrillo-Khan,"Wilson, Smith and Bennett",Fusion,Under Construction,7500.359947,42842.70027,https://harris-lang.com/
Spain,"Tyler, Hall and Clayton",1043,2001,Natalieside,"Sullivan, Garcia and Harmon",Gonzalez LLC,Fusion,Operational,5616.83952,44172.65602,http://www.jackson.com/
Saint Lucia,Reynolds Group,594,1996,East Bruce,Hardy PLC,Hoffman-Brown,Fusion,Planned,6786.254943,52564.43272,http://www.salas-cunningham.com/
